REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY, WEBSITE ADDRESS, FAX/TELEPHONE NO.
09 - Zamboanga Peninsula,Alhadeetha Mindanao College,Private,Zamboanga Del Sur,Labangan,amcedu.org,N/A,
09 - Zamboanga Peninsula,Andres Bonifacio College,Private,Zamboanga Del Norte,City of Dipolog,http://www.abcollege.edu.ph,(065) 212-2937,
09 - Zamboanga Peninsula,Ateneo de Zamboanga University,Private,Zamboanga Del Sur,City of Zamboanga,http://www.adzu.edu.ph,62 991-0871,
09 - Zamboanga Peninsula,Aurora Pioneers Memorial College,Private,Zamboanga Del Sur,Aurora,,(062) 925-6875,
09 - Zamboanga Peninsula,Ave Maria College,Private,Zamboanga Del Norte,Liloy,,N/A,
09 - Zamboanga Peninsula,Basilan State College,SUC,Basilan,City of Isabela,http://www.bassc.edu.ph,N/A,
09 - Zamboanga Peninsula,Blancia College Foundation,Private,Zamboanga Del Sur,Molave,http://www.blanciacollegefi.web.com,(062) 2251-406,
09 - Zamboanga Peninsula,Brent Hospital and Colleges,Private,Zamboanga Del Sur,City of Zamboanga,,(062) 992-447,
09 - Zamboanga Peninsula,Claret College of Isabela,Private,Basilan,City of Isabela,https://claretcollegeofisabelabasilan.com/,N/A,
09 - Zamboanga Peninsula,Colegio de La Ciudad de Zamboanga,LUC,Zamboanga Del Sur,City of Zamboanga,,(062) 982-0862,
09 - Zamboanga Peninsula,Colegio de San Francisco Javier of Rizal Zamboanga del Norte,Private,Zamboanga Del Norte,Rizal,csfj.wela.online,(065) 212-6292,
09 - Zamboanga Peninsula,Computer Technologies Institute of Zamboanga City,Private,Zamboanga Del Sur,City of Zamboanga,,N/A,
09 - Zamboanga Peninsula,Dipolog City Institute of Technology,Private,Zamboanga Del Norte,City of Dipolog,,(065) 2123388  (63) 9103486221,
09 - Zamboanga Peninsula,DMC College Foundation,Private,Zamboanga Del Norte,City of Dipolog,http://www.dmc.edu.ph,(065) 212-8881  (065) 212-3827,
09 - Zamboanga Peninsula,Dr. Aurelio Mendoza Memorial Colleges,Private,Zamboanga Sibugay,Ipil,ammc.edu.ph,(062) 2151856,
09 - Zamboanga Peninsula,Eastern Mindanao College of Technology,Private,Zamboanga Del Sur,City of Pagadian,https://emcotechonline.com/,09173042661/09064719914/09197168720,
09 - Zamboanga Peninsula,Ebenezer Bible College and Seminary,Private,Zamboanga Del Sur,City of Zamboanga,https://ebcs.edu.ph,(062) 975-0401,
09 - Zamboanga Peninsula,Emmauss College of Theology Foundation,Private,Zamboanga Del Sur,City of Zamboanga,http://www.emmauscollegeoftheology.com/,062-983-0952,
09 - Zamboanga Peninsula,Ferndale College – Zamboanga Peninsula,Private,Zamboanga Del Sur,City of Zamboanga,http://www.ferndale.colleges.com,(062) 992-1113/ (062) 984-0882,
09 - Zamboanga Peninsula,Helping Hands College and Wellness Center,Private,Zamboanga Del Norte,Leon T. Postigo,https://hhcwellnesscenter.online/,9778224522/09650362840,
09 - Zamboanga Peninsula,HMIJ Foundation Philippine Islamic College,Private,Zamboanga Del Sur,City of Zamboanga,,N/A,
09 - Zamboanga Peninsula,Hyrons College Philippines,Private,Zamboanga Del Sur,Tukuran,,N/A,
09 - Zamboanga Peninsula,Immaculate Conception Archdiocesan School,Private,Zamboanga Del Sur,City of Zamboanga,http://www.icas.com,N/A,
09 - Zamboanga Peninsula,Jose Rizal Memorial State University - Main,SUC,Zamboanga Del Norte,City of Dapitan,jrmsu.edu.ph,N/A,
09 - Zamboanga Peninsula,Jose Rizal Memorial State University-Dipolog,SUC,Zamboanga Del Norte,City of Dipolog,jrmsu.edu.ph,N/A,
09 - Zamboanga Peninsula,Jose Rizal Memorial State University-Katipunan Campus,SUC,Zamboanga Del Norte,Katipunan,jrmsu.edu.ph,(065) 917-2044,
09 - Zamboanga Peninsula,Jose Rizal Memorial State University-Siocon,SUC,Zamboanga Del Norte,Siocon,jrmsu.edu.ph,N/A,
09 - Zamboanga Peninsula,Jose Rizal Memorial State University-Tampilisan,SUC,Zamboanga Del Norte,Tampilisan,jrmsu.edu.ph,N/A,
09 - Zamboanga Peninsula,Josefina H. Cerilles State College,SUC,Zamboanga Del Sur,San Miguel,https://jhcsc.edu.ph,629000000,
09 - Zamboanga Peninsula,Josefina H. Cerilles State College - Dumingag,SUC,Zamboanga Del Sur,Dumingag,https://jhcsc.edu.ph,(+63)9989975095,
09 - Zamboanga Peninsula,Josefina H. Cerilles State College - Pagadian,SUC,Zamboanga Del Sur,City of Pagadian,jhcsc.edu.ph,(+63)9989975095,
09 - Zamboanga Peninsula,Josefina H. Cerilles State College-Canuto M.S. Enerio College of Arts and Trades,SUC,Zamboanga Del Sur,Lakewood,https://jhcsc.edu.ph,629000000,
09 - Zamboanga Peninsula,Juan S. Alano Memorial School,Private,Basilan,City of Isabela,,N/A,
09 - Zamboanga Peninsula,Lucan Central Colleges,Private,Zamboanga Del Sur,City of Pagadian,,N/A,
09 - Zamboanga Peninsula,Marian College,Private,Zamboanga Sibugay,Ipil,http://www.mariancollege.edu.ph,(062) 335-1474/ (062) 333-2993,
09 - Zamboanga Peninsula,Medina College-Ipil,Private,Zamboanga Sibugay,Ipil,,62335615,
09 - Zamboanga Peninsula,Medina College-Pagadian,Private,Zamboanga Del Sur,City of Pagadian,http://www.medinacollegepagadian.com,(062) 215-3721  (062) 214-1822  (088) 521-1466,
09 - Zamboanga Peninsula,Metro Zampen College,Private,Zamboanga Del Sur,City of Zamboanga,,(062) 3082951,
09 - Zamboanga Peninsula,Mindanao State University-Buug College,SUC,Zamboanga Sibugay,Buug,https://msubuug.edu.ph,N/A,
09 - Zamboanga Peninsula,Nuevo Zamboanga College,Private,Zamboanga Del Sur,City of Zamboanga,,630000000,
09 - Zamboanga Peninsula,Our Lady of Triumph Institute of Technology,Private,Zamboanga Del Sur,City of Pagadian,olt.edu.ph,N/A,
09 - Zamboanga Peninsula,Pagadian Capitol College,Private,Zamboanga Del Sur,City of Pagadian,pcci-pagadian.edu.ph,N/A,
09 - Zamboanga Peninsula,Pagadian City International College,LUC,Zamboanga Del Sur,City of Pagadian,,6210000000,
09 - Zamboanga Peninsula,Philippine Advent College,Private,Zamboanga Del Norte,Sindangan,philippineadventcollege.edu.ph,N/A,
09 - Zamboanga Peninsula,Philippine Advent College - Leon B. Postigo Campus,Private,Zamboanga Del Norte,Leon T. Postigo,philippineadventcollege.edu.ph,(065) 918-7713,
09 - Zamboanga Peninsula,Philippine Advent College-Salug,Private,Zamboanga Del Norte,Salug,,(065) 908-4178,
09 - Zamboanga Peninsula,Philippine Technological and Marine Sciences-Zamboanga del Sur,Private,Zamboanga Del Sur,City of Pagadian,,(062) 214-4348  09558020310,
09 - Zamboanga Peninsula,Pilar Colege of Zamboanga City,Private,Zamboanga Del Sur,City of Zamboanga,http://www.pczc.edu.ph,(062) 991-5410;   (062) 991-1098,
09 - Zamboanga Peninsula,Rizal Memorial Institute of Dapitan City,Private,Zamboanga Del Norte,City of Dapitan,,(065) 917-5996  (065) 213 6287,
09 - Zamboanga Peninsula,Saint Columban College,Private,Zamboanga Del Sur,City of Pagadian,http://www.sccpag.edu.ph,062 215-1799,
09 - Zamboanga Peninsula,Saint Estanislao Kostka College,Private,Zamboanga Del Norte,Manukan,,N/A,
09 - Zamboanga Peninsula,Saint Joseph College of Sindangan,Private,Zamboanga Del Norte,Sindangan,http://www.sjcsi.edu.ph,(065)224-2110,
09 - Zamboanga Peninsula,Saint Vincent's College,Private,Zamboanga Del Norte,City of Dipolog,http://www.svc.edu.ph,9780000000,
09 - Zamboanga Peninsula,Sibugay Technical Institute,Private,Zamboanga Sibugay,Ipil,sibugaytech.edu.ph,062-333-2469,
09 - Zamboanga Peninsula,Southern City Colleges,Private,Zamboanga Del Sur,City of Zamboanga,http://www.scci.edu.ph,(062) 975 6892,
09 - Zamboanga Peninsula,Southern City Colleges-West Campus,Private,Zamboanga Del Sur,City of Zamboanga,http://www.scci.edu.ph,(62) 975-6892,
09 - Zamboanga Peninsula,Southern Mindanao College-Agro Tech,Private,Zamboanga Del Sur,City of Pagadian,,062-214-4804 062-2151-624,
09 - Zamboanga Peninsula,Southern Mindanao Colleges,Private,Zamboanga Del Sur,Dumalinao,,N/A,
09 - Zamboanga Peninsula,Southern Peninsula College,Private,Zamboanga Del Norte,Labason,,N/A,
09 - Zamboanga Peninsula,Southern Philippine College,Private,Zamboanga Del Norte,Labason,,065-918-4376,
09 - Zamboanga Peninsula,St. John College of Buug Foundation,Private,Zamboanga Sibugay,Buug,,(069)955-5842,
09 - Zamboanga Peninsula,St. Mary's College of Labason,Private,Zamboanga Del Norte,Labason,smcli.edu.ph,9780000000,
09 - Zamboanga Peninsula,Universidad de Zamboanga,Private,Zamboanga Del Sur,City of Zamboanga,http://www.uz.edu.ph,(062) 991-1135,
09 - Zamboanga Peninsula,Universidad de Zamboanga - Pagadian,Private,Zamboanga Del Sur,City of Pagadian,uz.edu.ph,(062)945-2387,
09 - Zamboanga Peninsula,Universidad de Zamboanga-Ipil,Private,Zamboanga Sibugay,Ipil,http://www.uz.edu.ph,62333506,
09 - Zamboanga Peninsula,West Prime Horizon Institute,Private,Zamboanga Del Sur,City of Pagadian,,N/A,
09 - Zamboanga Peninsula,Western Mindanao State University,SUC,Zamboanga Del Sur,City of Zamboanga,http://www.wmsu.edu.ph,062 991-1771,
09 - Zamboanga Peninsula,Western Mindanao State University-Alicia,SUC,Zamboanga Sibugay,Alicia,http://www.wmsu.edu.ph,062 991-1771,
09 - Zamboanga Peninsula,Western Mindanao State University-Curuan,SUC,Zamboanga Del Sur,City of Zamboanga,http://www.wmsu.edu.ph,062 991-1771,
09 - Zamboanga Peninsula,Western Mindanao State University-Diplahan,SUC,Zamboanga Sibugay,Diplahan,http://www.wmsu.edu.ph,062 991-1771,
09 - Zamboanga Peninsula,Western Mindanao State University-Imelda,SUC,Zamboanga Sibugay,Imelda,http://www.wmsu.edu.ph,062 991-1771,
09 - Zamboanga Peninsula,Western Mindanao State University-Ipil,SUC,Zamboanga Sibugay,Ipil,http://www.wmsu.edu.ph,062 991-1771,
09 - Zamboanga Peninsula,Western Mindanao State University-Mabuhay,SUC,Zamboanga Sibugay,Mabuhay,http://www.wmsu.edu.ph,062 991-1771,
09 - Zamboanga Peninsula,Western Mindanao State University-Malangas,SUC,Zamboanga Sibugay,Malangas,http://www.wmsu.edu.ph,062 991-1771,
09 - Zamboanga Peninsula,Western Mindanao State University-Olutanga,SUC,Zamboanga Sibugay,Olutanga,http://www.wmsu.edu.ph,062 991-1771,
09 - Zamboanga Peninsula,Western Mindanao State University-Pagadian,SUC,Zamboanga Del Sur,City of Pagadian,http://www.wmsu.edu.ph,062 991-1771,
09 - Zamboanga Peninsula,Western Mindanao State University-Siay,SUC,Zamboanga Sibugay,Siay,http://www.wmsu.edu.ph,062 991-1771,
09 - Zamboanga Peninsula,Western Mindanao State University-Tungawan,SUC,Zamboanga Sibugay,Tungawan,http://www.wmsu.edu.ph,062 991-1771,
09 - Zamboanga Peninsula,Yllana Bay View College,Private,Zamboanga Del Sur,City of Pagadian,,062 2158182,
09 - Zamboanga Peninsula,Zamboanga del Sur Provincial Government College,LUC,Zamboanga Del Sur,Aurora,,N/A,
09 - Zamboanga Peninsula,Zamboanga del Sur Provincial Government College - Pagadian,LUC,Zamboanga Del Sur,City of Pagadian,,N/A,
09 - Zamboanga Peninsula,Zamboanga del Sur Provincial Government College-Dimataling,LUC,Zamboanga Del Sur,Dimataling,http://www.facebook.com/profikle.php?id=100084264713866&mibextid=LQQJ4d,N/A,
09 - Zamboanga Peninsula,Zamboanga Peninsula Polytechic State University-Vitali,SUC,Zamboanga Del Sur,City of Zamboanga,http://www.zppsu.edu.ph,062 975-3137,
09 - Zamboanga Peninsula,Zamboanga Peninsula Polytechnic State University,SUC,Zamboanga Del Sur,City of Zamboanga,http://www.zppsu.edu.ph,062 975-3137,
09 - Zamboanga Peninsula,Zamboanga Peninsula Polytechnic State University-Kabasalan,SUC,Zamboanga Del Sur,Kabasalan,http://www.zppsu.edu.ph,062 975-3137,
09 - Zamboanga Peninsula,Zamboanga Peninsula Polytechnic State University-Malangas,SUC,Zamboanga Sibugay,Malangas,http://www.zppsu.edu.ph,062 975-3137,
09 - Zamboanga Peninsula,Zamboanga Peninsula Polytechnic State University-Siay,SUC,Zamboanga Sibugay,Siay,http://www.zppsu.edu.ph,062 975-3137,
09 - Zamboanga Peninsula,Zamboanga State College of Marine Sciences and Technology,SUC,Zamboanga Del Sur,City of Zamboanga,http://www.zscmst.edu.ph,(062) 992-3092,
09 - Zamboanga Peninsula,ZAMSULA Everlasting College,Private,Zamboanga Del Norte,Salug,,N/A,
10 - Northern Mindanao,ACLC College of Bukidnon,Private,Bukidnon,City of Valencia,http://www.aclcbukidnon.com,(088) 828-3585,
10 - Northern Mindanao,Adventist Medical Center College,Private,Lanao Del Norte,City of Iligan,http://www.amcc.edu.ph,063-221-9219,
10 - Northern Mindanao,Adventist Technological Institute,Private,Misamis Occidental,Jimenez,,N/A,
10 - Northern Mindanao,AMA Computer College-Cagayan de Oro,Private,Misamis Oriental,City of Cagayan De Oro,http://www.ama.edu.ph/,883000000,
10 - Northern Mindanao,Blessed Mother College,Private,Misamis Oriental,City of Cagayan De Oro,http://www.blessedmothercollege.edu.ph,(088-22) 852-4283,
10 - Northern Mindanao,Bukidnon State University,SUC,Bukidnon,City of Malaybalay,http://www.buksu.edu.ph,(813) 5661-5663,
10 - Northern Mindanao,Bukidnon State University - Lantapan,SUC,Bukidnon,Lantapan,,N/A,
10 - Northern Mindanao,Bukidnon State University-Alubijid ESC,SUC,Misamis Oriental,Alubijid,,N/A,
10 - Northern Mindanao,Bukidnon State University-Baungon BSU,SUC,Bukidnon,Baungon,http://www.buksu.edu.ph,N/A,
10 - Northern Mindanao,Bukidnon State University-Cabanglasan ESC,SUC,Bukidnon,Cabanglasan,buksu.edu.ph,N/A,
10 - Northern Mindanao,Bukidnon State University-Damulog Satellite ESC,SUC,Bukidnon,Damulog,http://www.bsc.edu.ph,N/A,
10 - Northern Mindanao,Bukidnon State University-Impasugong,SUC,Bukidnon,Impasug-ong,,NA,
10 - Northern Mindanao,Bukidnon State University-Kadingilan,SUC,Bukidnon,Kadingilan,,N/A,
10 - Northern Mindanao,Bukidnon State University-Kalilangan BSU,SUC,Bukidnon,Kalilangan,,N/A,
10 - Northern Mindanao,Bukidnon State University-Kitaotao Satellite ESC,SUC,Bukidnon,Kitaotao,buksu.edu.ph,N/A,
10 - Northern Mindanao,Bukidnon State University-Libona,SUC,Bukidnon,Libona,http://www.buksu.edu.ph,n/a,
10 - Northern Mindanao,Bukidnon State University-Malitbog,SUC,Bukidnon,Malitbog,http://www.buksu.edu.ph,N/A,
10 - Northern Mindanao,Bukidnon State University-Medina ESC,SUC,Misamis Oriental,Medina,http://www.buksu.edu.ph,(088)55-737-60,
10 - Northern Mindanao,Bukidnon State University-Quezon Satellite ESC,SUC,Bukidnon,Quezon,buksu.edu.ph,N/A,
10 - Northern Mindanao,Bukidnon State University-San Fernando Satellite ESC,SUC,Bukidnon,San Fernando,buksu.edu.ph,N/A,
10 - Northern Mindanao,Bukidnon State University-Talakag BSU,SUC,Bukidnon,Talakag,http://www.buksu.edu.ph,886000000,
10 - Northern Mindanao,Bukidnon State University-Talisayan ESC,SUC,Misamis Oriental,Talisayan,,NA,
10 - Northern Mindanao,Cagayan De Oro College,Private,Misamis Oriental,City of Cagayan De Oro,http://www.coc.phinma.edu.ph,(088) 858-5868,
10 - Northern Mindanao,Cagayan De Oro College - Iligan Campus,Private,Lanao Del Norte,City of Iligan,http://www.coc.phinma.edu.ph,(063)227-1411,
10 - Northern Mindanao,Camiguin Polytechnic State College,SUC,Camiguin,Mambajao,http://www.cpsc.edu.ph,(088) 8890183,
10 - Northern Mindanao,Capitol University,Private,Misamis Oriental,City of Cagayan De Oro,http://www.cu.edu.ph,(08822) 723-349,
10 - Northern Mindanao,Central Mindanao University,SUC,Bukidnon,Maramag,http://www.cmu.edu.ph,N/A,
10 - Northern Mindanao,Christ the King College,Private,Misamis Oriental,City of Gingoog,http://www.ckcgingoog.edu.ph,(08842)7437,
10 - Northern Mindanao,Christ The King College De Maranding,Private,Lanao Del Norte,Lala,,(063) 388-7373,
10 - Northern Mindanao,City College of Cagayan de Oro,LUC,Misamis Oriental,City of Cagayan De Oro,citycollegecdo.edu.ph,N/A,
10 - Northern Mindanao,City College of El Salvador,LUC,Misamis Oriental,City of El Salvador,cce.edu.ph,(088) 565-1832,
10 - Northern Mindanao,Colegio de Kapatagan,LUC,Lanao Del Norte,Kapatagan,cdek.edu.ph,N/A,
10 - Northern Mindanao,Colegio De Santo Niño De Jasaan,Private,Misamis Oriental,Jasaan,,889000000,
10 - Northern Mindanao,Community College of Gingoog City,LUC,Misamis Oriental,City of Gingoog,,(088) 323-0896,
10 - Northern Mindanao,Don Carlos Polytechnic College,LUC,Bukidnon,Don Carlos,dcpc.edu.ph,883000000,
10 - Northern Mindanao,Dr. Solomon U. Molina College,Private,Misamis Occidental,City of Oroquieta,,N/A,
10 - Northern Mindanao,Fatima College of Camiguin,Private,Camiguin,Mambajao,,N/A,
10 - Northern Mindanao,Gingoog Christian College,Private,Misamis Oriental,City of Gingoog,,(08842) 7376,
10 - Northern Mindanao,Gingoog City College,Private,Misamis Oriental,City of Gingoog,,(088) 323-5001,
10 - Northern Mindanao,Golden Heritage Polytechnic College,Private,Misamis Oriental,City of Cagayan De Oro,http://www.goldenheritage.edu.ph,(088) 858-7326,
10 - Northern Mindanao,Gov. Alfonso D. Tan College,LUC,Misamis Occidental,City of Tangub,http://www.gadtc.edu.ph,9080000000,
10 - Northern Mindanao,IBA College of Mindanao,Private,Bukidnon,City of Valencia,http://www.ibacmi.edu.ph,(088) 828 3660,
10 - Northern Mindanao,Iligan Capitol College,Private,Lanao Del Norte,City of Iligan,http://www.icc.edu.ph,(063) 221-2247,
10 - Northern Mindanao,Iligan Medical Center College,Private,Lanao Del Norte,City of Iligan,http://www.imcc.edu.ph,(063) 221-4661 local 1102,
10 - Northern Mindanao,Initao College,LUC,Misamis Oriental,Initao,,(088-8820862),
10 - Northern Mindanao,Juanito K. La Viña Sr. Colleges,Private,Bukidnon,City of Valencia,jklci.com,0997-766-5703,
10 - Northern Mindanao,La Salle University,Private,Misamis Occidental,City of Ozamiz,http://www.lsu.edu.ph,(0985) 346 0730,
10 - Northern Mindanao,Lanao School of Science and Technology,Private,Lanao Del Norte,Lala,,(063)-227-9861,
10 - Northern Mindanao,Liceo De Cagayan University,Private,Misamis Oriental,City of Cagayan De Oro,http://www.liceo.edu.ph/,(088) 8584093-95 8584086 8583664,
10 - Northern Mindanao,Lourdes College,Private,Misamis Oriental,City of Cagayan De Oro,http;//http://www.lccdo.edu.ph,(088) 857-1423,
10 - Northern Mindanao,Lyceum of Iligan Foundation,Private,Lanao Del Norte,City of Iligan,http://www.lif.edu.ph,(063) 221 1818,
10 - Northern Mindanao,Magsaysay College,LUC,Misamis Oriental,Magsaysay,mc@sikatmagsaysay.gov.ph,9050000000,
10 - Northern Mindanao,Masters Technological Institute of Mindanao,Private,Lanao Del Norte,City of Iligan,,(063) 221-6472,
10 - Northern Mindanao,Medina College,Private,Misamis Occidental,City of Ozamiz,http://www.medinacollege-edu.com,(088)521-0036/ (088) 521-1466,
10 - Northern Mindanao,Medina Foundation College,Private,Misamis Occidental,Sapang Dalaga,,N/A,
10 - Northern Mindanao,Mindanao Arts and Technological Institute,Private,Bukidnon,City of Malaybalay,,(088) 813-3039,
10 - Northern Mindanao,Mindanao State University - Iligan Institute of Technology,SUC,Lanao Del Norte,City of Iligan,http://www.msuiit.edu.ph,(063) 221-4050 - 221-4055,
10 - Northern Mindanao,Mindanao State University-Lanao Del Norte Agricultural College,SUC,Lanao Del Norte,Sultan Naga Dimaporo,superintendent@msulnac.edu.ph,None,
10 - Northern Mindanao,Mindanao State University-Maigo School of Arts and Trades,SUC,Lanao Del Norte,Maigo,,063-227-4210,
10 - Northern Mindanao,Mindanao State University-Naawan,SUC,Misamis Oriental,Naawan,http://www.msunaawan.edu.ph,(088) 555.0187,
10 - Northern Mindanao,Misamis Institute of Technology,Private,Misamis Occidental,City of Ozamiz,,(088) 545-0151,
10 - Northern Mindanao,Misamis Oriental Institute of Science and Technology,Private,Misamis Oriental,Balingasag,http://www.moist.edu.ph,088-333-5054,
10 - Northern Mindanao,Misamis University,Private,Misamis Occidental,City of Ozamiz,http://www.mu.edu.ph,(088) 521-0367,
10 - Northern Mindanao,Misamis University-Oroquieta City,Private,Misamis Occidental,City of Oroquieta,http://www.muo.edu.ph,088-531-1153,
10 - Northern Mindanao,Mountain View College,Private,Bukidnon,City of Valencia,http://www.mvc.edu.ph,N/A,
10 - Northern Mindanao,North Central Mindanao College,Private,Lanao Del Norte,Lala,http://www.ncmc.edu.ph,063-227-8004,
10 - Northern Mindanao,Northern Bukidnon State College,SUC,Bukidnon,Manolo Fortich,nbsc.edu.ph,(088) 5358035,
10 - Northern Mindanao,Northwestern Mindanao Christian Colleges,Private,Misamis Occidental,Tudela,http://www.ncmc.edu.ph,063-227-8004,
10 - Northern Mindanao,Northwestern Mindanao State College of Science and Technology,SUC,Misamis Occidental,City of Tangub,http://www.nmsc.edu.ph,(088) 586-0173,
10 - Northern Mindanao,Opol Community College,LUC,Misamis Oriental,Opol,,(088) 882-3269,
10 - Northern Mindanao,Oro Bible College,Private,Misamis Oriental,City of Cagayan De Oro,,(088) 858 - 3209,
10 - Northern Mindanao,Our Lady of Triumph Institute of Technology,Private,Misamis Occidental,City of Ozamiz,http://www.olt.edu.ph,088-545-9078,
10 - Northern Mindanao,Pangantucan Bukidnon Community College,LUC,Bukidnon,Pangantucan,,N/A,
10 - Northern Mindanao,Philippine College Foundation,Private,Bukidnon,City of Valencia,http://www.pcf.edu.ph,(088) 828-6569,
10 - Northern Mindanao,Philippine Countryville College,Private,Bukidnon,Maramag,http://www.phicountryville.com,0908-872-3124,
10 - Northern Mindanao,Pilgrim Christian College,Private,Misamis Oriental,City of Cagayan De Oro,pcc-cdo.com,(088) 856 - 4239; (08822) 72 - 44 - 98,
10 - Northern Mindanao,Quezon Institute of Technology,Private,Bukidnon,Quezon,,9060000000,
10 - Northern Mindanao,Roman C. Villalon Memorial Colleges Foundation,Private,Bukidnon,Kibawe,,N/A,
10 - Northern Mindanao,Sacred Heart College of Calamba,Private,Misamis Occidental,Calamba,,(088) 564-8138,
10 - Northern Mindanao,Salay Community College,LUC,Misamis Oriental,Salay,,0917-5996-044,
10 - Northern Mindanao,San Agustin Institute of Technology,Private,Bukidnon,City of Valencia,https://sait.edu.ph,088-828-1499,
10 - Northern Mindanao,San Isidro College,Private,Bukidnon,City of Malaybalay,http://www.sic.edu.ph,(088)-813-5541,
10 - Northern Mindanao,Santa Monica Institute of Technology,Private,Lanao Del Norte,City of Iligan,,(063)221-2678,
10 - Northern Mindanao,Southern Bukidnon Foundation Academy,Private,Bukidnon,Don Carlos,,9560000000,
10 - Northern Mindanao,Southern Capital Colleges,Private,Misamis Occidental,City of Oroquieta,,088-531-1170,
10 - Northern Mindanao,Southern De Oro Philippines College,Private,Misamis Oriental,City of Oroquieta,https://spccdo.edu.ph/,(088) 856-2609,
10 - Northern Mindanao,Southern Maramag Colleges,Private,Bukidnon,Maramag,,63926 036 3488,
10 - Northern Mindanao,St. John Vianney Theological Seminary,Private,Misamis Oriental,City of Cagayan De Oro,http://www.vianneycdo.ph,N/A,
10 - Northern Mindanao,St. Michael's College,Private,Lanao Del Norte,City of Iligan,http://www.smciligan.edu.ph,(063) 221-3812,
10 - Northern Mindanao,St. Peter's College,Private,Lanao Del Norte,City of Iligan,spc.edu.ph,(063) 221-6246,
10 - Northern Mindanao,St. Peter's College of Misamis Oriental,Private,Misamis Oriental,Balingasag,spcmoi.edu.ph,(088) 333 - 2072,
10 - Northern Mindanao,St. Rita's College of Balingasag,Private,Misamis Oriental,BALINGASAG,srcb.edu.ph,883000000,
10 - Northern Mindanao,STI College-Cagayan De Oro,Private,Misamis Oriental,City of Cagayan De Oro,http://www.sti.edu,(088) 880 3351,
10 - Northern Mindanao,STI College-Iligan,Private,Lanao Del Norte,City of Iligan,http://www.sti.edu,(063) 221-9698,
10 - Northern Mindanao,STI College-Malaybalay,Private,Bukidnon,City of Malaybalay,http://www.sti.edu/,(088) 813-3877,
10 - Northern Mindanao,STI College-Valencia,Private,Bukidnon,City of Valencia,http://www.sti.edu,(088) 828-3413,
10 - Northern Mindanao,Tagoloan Community College,LUC,Misamis Oriental,Tagoloan,http://www.tagoloan.edu.ph,(088) 890-4659,
10 - Northern Mindanao,The New El Salvador Colleges,Private,Misamis Oriental,City of El Salvador,,(088)3271158,
10 - Northern Mindanao,Tubod College,LUC,Lanao Del Norte,Tubod,,063-227-6460,
10 - Northern Mindanao,University of Science and Technology in Southern Philippines-Alubijid,SUC,Misamis Oriental,Alubijid,http://www.ustp.edu.ph/alubijid/,088-856-1738,
10 - Northern Mindanao,University of Science and Technology in Southern Philippines-Balubal,SUC,Misamis Oriental,City of Cagayan De Oro,http://www.ustp.edu.ph,NONE,
10 - Northern Mindanao,University of Science and Technology in Southern Philippines-Villanueva,SUC,Misamis Oriental,Villanueva,http://www.ustp.edu.ph/villanueva/,088-856-1738 Local 168,
10 - Northern Mindanao,University of Science and Technology of Southern Philippines,SUC,Misamis Oriental,City of Cagayan De Oro,http://www.ustp.edu.ph,(088) 856-1738 LOCAL: 168,
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Claveria,SUC,Misamis Oriental,Claveria,https://claveria.ustp.edu.ph,n/a,
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Jasaan,SUC,Misamis Oriental,Jasaan,http://www.ustp.edu.ph/jasaan,N/A,
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Oroquieta,SUC,Misamis Occidental,City of Oroquieta,,N/A,
10 - Northern Mindanao,University of Science and Technology of Southern Philippines - Panaon,SUC,Misamis Occidental,Panaon,,09652614958 / 09103032460,
10 - Northern Mindanao,Valencia Colleges-Bukidnon,Private,Bukidnon,City of Valencia,vci at Wikipedia,088-2823142,
10 - Northern Mindanao,Vineyard International Polytechnic College,Private,Misamis Oriental,City of Cagayan De Oro,vipc.edu.ph,(088) 856-8646,
10 - Northern Mindanao,Xavier University (Ateneo de Cagayan),Private,Misamis Oriental,City of Cagayan De Oro,http://www.xu.edu.ph,(088) 8539800,
11 - Davao Region,Agro-Industrial Foundation College of the Philippines-Davao,Private,Davao Del Sur,Davao City,https://agrodavao.com/,082-295-2902,
11 - Davao Region,AMA Computer College-Davao,Private,Davao Del Sur,Davao City,http://www.amaes.edu.ph,(082) 331-1608,
11 - Davao Region,Arriesgado College Foundation,Private,Davao Del Norte,Tagum City,,(084) 216-9807,
11 - Davao Region,Assumption College of Nabunturan,Private,Davao De Oro,Nabunturan,http://www.acn.edu.ph,(084) 376-0607,
11 - Davao Region,Ateneo de Davao University,Private,Davao Del Sur,Davao City,http://www.addu.edu.ph,(082)221-2411,
11 - Davao Region,Brokenshire College,Private,Davao Del Sur,Davao City,http://www.brokenshire.edu.ph,(082) 227-3538 local 117,
11 - Davao Region,Cor Jesu College,Private,Davao Del Sur,Digos City,http://www.cjc.edu.ph,(082) 553-2433,
11 - Davao Region,Davao Central College,Private,Davao Del Sur,Davao City,http://www.dcc.edu.ph,(082) 291-1882,
11 - Davao Region,Davao del Norte State College,SUC,Davao Del Norte,Panabo City,http://www.dnsc.edu.ph,084-645-3064,
11 - Davao Region,Davao Doctors College,Private,Davao Del Sur,Davao City,http://www.davaodoctors.edu.ph,(082) 222-0851,
